// Fixed timecycle (Original 24h Version) by Scooper.
///////////////////////////////////////////EXTRASUNNY_LA 
//
// Midnight 
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	22 22 22 			220 212 130 			255 255 255 			0 23 24 			0 31 32 			255 128 0 			5 0 0 			0.8		0.8		0.3			200 100 0			400.0		100.0		0.8			30 20 0			3 3 3			85 85 65 240			252 87 87 87			252 60 121 122			0	90	0	1.00		
// 1AM 
	22 22 22 			214 208 132 			255 255 255 			0 22 23 			0 31 32 			255 128 0 			55 25 0 			0.8		0.8		0.3			190 100 0			400.0		100.0		0.8			31 17 2			7 8 9			78 88 72 240			252 85 85 85			252 60 134 135			0	90	0	1.00		
// 2AM 
	22 22 22 			209 204 134 			255 255 255 			0 21 22 			0 31 32 			255 128 0 			105 51 0 			0.6		0.8		0.3			180 100 0			400.0		100.0		0.8			32 15 4			12 13 16			72 92 80 240			252 84 84 84			252 60 148 149			0	90	0	1.00		
// 3AM 
	22 22 22 			204 201 137 			255 255 255 			0 21 21 			0 31 32 			255 128 0 			155 76 0 			0.3		0.8		0.1			170 100 0			400.0		100.0		0.8			33 13 6			17 19 22			65 96 88 240			252 82 82 82			252 60 162 162			0	90	0	1.00		
// 4AM 
	22 22 22 			199 197 139 			255 255 255 			0 20 20 			0 31 32 			255 128 0 			205 102 0 			0.1		0.8		0.1			160 100 0			400.0		100.0		0.8			34 11 8			22 24 29			59 100 96 240			252 81 81 81			252 60 176 176			0	90	0	1.00		
// 5AM 
	22 22 22 			194 194 142 			255 255 255 			17 21 32 			0 31 32 			255 128 0 			255 128 0 			-0.1		0.8		0.1			150 100 0			400.0		100.0		0.8			35 9 10			27 30 36			53 104 104 240			252 80 80 80			252 60 190 190			0	90	0	1.00		
// 6AM 
	22 22 22 			210 194 182 			255 255 255 			89 132 255 			200 144 85 			255 128 0 			255 128 0 			8.3		0.8		0.3			140 93 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			252 86 86 86			252 149 94 0			25	120	0	1.00		
// 7AM 
	5 0 0 			210 194 182 			255 255 255 			89 136 255 			89 150 255 			255 255 255 			255 255 255 			2.0		0.8		0.3			100 50 75			800.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			188 133 106 70			252 96 61 15			25	180	0	1.00		
// 8AM 
	6 0 0 			210 194 182 			255 255 255 			84 135 246 			118 154 245 			255 255 255 			255 255 255 			1.9		0.8		0.1			127 40 98			800.0		82.0		0.3			104 38 36			156 146 121			134 170 170 240			200 119 98 65			252 110 74 24			25	180	0	1.00		
// 9AM 
	7 0 0 			210 194 182 			255 255 255 			81 117 237 			117 150 222 			255 255 255 			255 255 255 			1.8		0.8		0.1			154 30 121			800.0		64.0		0.3			89 37 33			153 150 136			123 170 170 240			212 106 90 61			252 124 88 33			25	180	0	1.00		
// 10AM 
	8 0 0 			210 194 182 			255 255 255 			76 128 228 			116 141 221 			255 255 255 			255 255 255 			1.4		0.8		0.1			181 20 144			800.0		46.0		0.1			74 36 29			150 155 152			112 170 170 240			224 92 82 56			252 138 101 42			25	180	0	1.00		
// 11AM 
	9 0 0 			210 194 182 			255 255 255 			72 118 219 			123 146 180 			255 255 255 			255 255 255 			1.3		0.8		0.1			208 9 167			800.0		28.0		0.1			59 35 26			147 159 167			101 170 170 240			236 79 74 52			252 152 115 51			25	180	0	1.00		
// Midday 
